Timestamp,Dewpoint,Thermometer
1578200400.000000,44.49091,58.14727
1578204000.000000,39.91379,56.34655
1578207600.000000,36.18000,54.28000
1578211200.000000,34.00000,52.41864
1578214800.000000,34.38182,50.32364
1578218400.000000,33.69492,48.85254
1578222000.000000,33.37288,47.50847
1578225600.000000,33.96226,46.41321
1578229200.000000,34.63636,47.03409
1578232800.000000,35.03774,48.33019
1578236400.000000,35.89286,50.35000
1578240000.000000,36.53704,52.34815
1578243600.000000,37.18182,54.65636
1578247200.000000,38.86792,57.31887
1578250800.000000,42.92593,57.21296
1578254400.000000,43.92000,57.68000
1578258000.000000,44.20755,57.33396
1578261600.000000,45.03636,56.08909
1578265200.000000,45.07547,54.53585
1578268800.000000,45.39623,53.29245
1578272400.000000,46.00000,51.32105
1578276000.000000,45.56364,50.20727
1578279600.000000,44.21053,49.40000
1578283200.000000,42.82000,49.53400
1578286800.000000,42.00000,48.67925
1578290400.000000,41.89091,47.64182
1578294000.000000,41.13333,46.85778
1578297600.000000,40.75472,46.24340
1578301200.000000,40.25455,45.53636
1578304800.000000,40.00000,45.22373
1578308400.000000,39.65385,44.77885
1578312000.000000,39.25862,43.67586
1578315600.000000,41.14286,47.32857
1578319200.000000,41.61224,52.57347
1578322800.000000,40.87931,56.80690
1578326400.000000,39.77358,59.59245
1578330000.000000,40.83929,61.45000
1578333600.000000,42.20370,63.00370
1578337200.000000,44.20755,62.84340
1578340800.000000,44.44068,62.62712
1578344400.000000,44.81356,62.31525
1578348000.000000,45.02000,60.49800
1578351600.000000,45.41818,58.15455
1578355200.000000,46.02083,55.92292
1578358800.000000,46.05263,54.75263
1578362400.000000,45.98077,53.86538
1578366000.000000,45.47727,53.55000
1578369600.000000,44.53571,53.44286
1578373200.000000,44.69231,50.54423
1578376800.000000,44.40351,48.65088
1578380400.000000,45.00000,48.68148
1578384000.000000,45.17857,49.10714
1578387600.000000,44.52727,48.53455
1578391200.000000,44.00000,47.96786
1578394800.000000,44.36207,47.80862
1578398400.000000,44.45614,47.60877
1578402000.000000,46.40000,50.54909
1578405600.000000,50.28571,55.75000
1578409200.000000,52.00000,61.21887
1578412800.000000,48.87500,65.14821
1578416400.000000,52.01923,67.55962
1578420000.000000,53.39286,69.23393
1578423600.000000,54.47368,69.80175
1578427200.000000,55.34483,70.34655
1578430800.000000,55.70909,70.43636
