Timestamp,Anemometer,Barometer,Dewpoint,Thermometer
2020-01-05 13:00:00,1.0755,30.2659245,38.86792,57.31887
2020-01-05 14:00:00,2.7037,30.2435741,42.92593,57.21296
2020-01-05 15:00:00,1.1200,30.2407600,43.92000,57.68000
2020-01-05 16:00:00,0.5094,30.2499245,44.20755,57.33396
2020-01-05 17:00:00,0.0545,30.2498545,45.03636,56.08909
2020-01-05 18:00:00,0.0000,30.2587925,45.07547,54.53585
2020-01-05 19:00:00,0.0000,30.2696792,45.39623,53.29245
2020-01-05 20:00:00,0.0175,30.2758421,46.00000,51.32105
2020-01-05 21:00:00,0.0000,30.2754909,45.56364,50.20727
2020-01-05 22:00:00,0.4737,30.2717895,44.21053,49.40000
2020-01-05 23:00:00,3.5400,30.2665200,42.82000,49.53400
2020-01-06 00:00:00,2.6792,30.2534717,42.00000,48.67925
2020-01-06 01:00:00,2.9273,30.2424364,41.89091,47.64182
2020-01-06 02:00:00,2.9556,30.2318000,41.13333,46.85778
2020-01-06 03:00:00,0.2075,30.2195094,40.75472,46.24340
2020-01-06 04:00:00,0.0000,30.2096545,40.25455,45.53636
2020-01-06 05:00:00,1.6610,30.2131017,40.00000,45.22373
2020-01-06 06:00:00,2.3654,30.2305577,39.65385,44.77885
2020-01-06 07:00:00,0.1207,30.2515517,39.25862,43.67586
2020-01-06 08:00:00,4.7321,30.2731250,41.14286,47.32857
2020-01-06 09:00:00,5.3673,30.2898571,41.61224,52.57347
2020-01-06 10:00:00,6.1897,30.2907414,40.87931,56.80690
2020-01-06 11:00:00,5.2264,30.2636981,39.77358,59.59245
2020-01-06 12:00:00,1.8929,30.2280179,40.83929,61.45000
2020-01-06 13:00:00,0.5556,30.1959815,42.20370,63.00370
2020-01-06 14:00:00,2.4906,30.1786792,44.20755,62.84340
2020-01-06 15:00:00,1.9492,30.1790000,44.44068,62.62712
2020-01-06 16:00:00,3.5593,30.1796949,44.81356,62.31525
2020-01-06 17:00:00,2.0800,30.1830600,45.02000,60.49800
2020-01-06 18:00:00,0.4364,30.1909818,45.41818,58.15455
2020-01-06 19:00:00,0.0000,30.1973333,46.02083,55.92292
2020-01-06 20:00:00,0.0000,30.1974561,46.05263,54.75263
2020-01-06 21:00:00,0.0000,30.1905000,45.98077,53.86538
2020-01-06 22:00:00,0.0227,30.1837045,45.47727,53.55000
2020-01-06 23:00:00,0.0000,30.1742679,44.53571,53.44286
2020-01-07 00:00:00,0.3654,30.1644038,44.69231,50.54423
2020-01-07 01:00:00,0.2105,30.1599298,44.40351,48.65088
2020-01-07 02:00:00,0.8333,30.1640556,45.00000,48.68148
2020-01-07 03:00:00,0.0000,30.1602321,45.17857,49.10714
2020-01-07 04:00:00,0.3091,30.1590727,44.52727,48.53455
2020-01-07 05:00:00,2.3036,30.1693036,44.00000,47.96786
2020-01-07 06:00:00,3.5690,30.1822931,44.36207,47.80862
2020-01-07 07:00:00,3.0000,30.1938070,44.45614,47.60877
2020-01-07 08:00:00,0.3273,30.2092182,46.40000,50.54909
2020-01-07 09:00:00,0.1429,30.2159286,50.28571,55.75000
2020-01-07 10:00:00,2.1698,30.2158868,52.00000,61.21887
2020-01-07 11:00:00,3.5000,30.1876071,48.87500,65.14821
2020-01-07 12:00:00,7.4231,30.1493654,52.01923,67.55962
2020-01-07 13:00:00,7.6786,30.1126429,53.39286,69.23393
2020-01-07 14:00:00,9.6491,30.0983509,54.47368,69.80175
2020-01-07 15:00:00,7.7931,30.0959828,55.34483,70.34655
2020-01-07 16:00:00,7.4182,30.1047273,55.70909,70.43636
2020-01-07 17:00:00,2.6316,30.1237018,56.00000,68.63158
2020-01-07 18:00:00,0.2105,30.1454912,56.00000,66.01228
2020-01-07 19:00:00,0.2321,30.1694643,55.16071,63.19286
2020-01-07 20:00:00,4.3091,30.1872364,55.00000,62.48364
2020-01-07 21:00:00,5.2000,30.2121091,55.00000,61.71636
2020-01-07 22:00:00,5.0182,30.2419455,54.38182,59.41273
2020-01-07 23:00:00,4.6964,30.2549286,53.16071,58.15179
2020-01-08 00:00:00,5.5849,30.2644906,50.37736,57.04906
2020-01-08 01:00:00,4.7500,30.2691429,47.05357,55.51786
2020-01-08 02:00:00,5.1429,30.2774821,43.41071,54.63750
2020-01-08 03:00:00,2.7273,30.2830182,42.00000,52.93273
2020-01-08 04:00:00,5.3684,30.2900175,41.66667,51.05789
2020-01-08 05:00:00,4.8364,30.3018545,40.72727,50.13455
2020-01-08 06:00:00,4.5370,30.3182037,39.94444,49.05926
2020-01-08 07:00:00,3.4821,30.3379464,39.44643,47.88214
2020-01-08 08:00:00,2.4545,30.3640545,40.85455,50.08000
2020-01-08 09:00:00,3.2857,30.3860357,44.32143,55.56071
2020-01-08 10:00:00,7.2182,30.3947636,46.38182,59.35818
2020-01-08 11:00:00,7.7925,30.3946415,45.07547,60.44717
2020-01-08 12:00:00,7.6727,30.3819091,45.45455,60.62364
2020-01-08 13:00:00,8.3208,30.3709245,45.24528,60.31698
2020-01-08 14:00:00,8.1321,30.3689623,44.52830,59.85094
2020-01-08 15:00:00,7.7593,30.3746667,44.42593,59.52222
2020-01-08 16:00:00,5.8214,30.3882679,44.39286,58.74821
2020-01-08 17:00:00,2.0182,30.4004000,45.00000,57.70000
2020-01-08 18:00:00,0.0545,30.4078364,45.45455,56.12909
2020-01-08 19:00:00,0.0000,30.4109091,46.09091,55.11273
2020-01-08 20:00:00,0.0000,30.4191071,46.71429,55.58750
2020-01-08 21:00:00,0.0000,30.4299286,46.50000,53.55000
2020-01-08 22:00:00,0.0000,30.4311429,46.75000,52.57857
2020-01-08 23:00:00,0.0000,30.4181250,46.44643,51.36071
2020-01-09 00:00:00,0.0000,30.4146786,46.26786,50.86071
2020-01-09 01:00:00,0.0000,30.4155370,46.00000,50.14815
2020-01-09 02:00:00,0.0000,30.4156964,46.60714,50.57857
2020-01-09 03:00:00,0.0000,30.4093148,50.38889,55.96111
2020-01-09 04:00:00,1.9464,30.4075536,53.12500,59.61071
2020-01-09 05:00:00,6.6429,30.4096964,56.62500,64.35714
2020-01-09 06:00:00,6.6607,30.4216250,57.42857,64.68393
2020-01-09 07:00:00,6.6727,30.4257818,58.00000,65.22182
2020-01-09 08:00:00,8.7321,30.4405179,59.14286,67.53750
2020-01-09 09:00:00,10.6964,30.4596786,59.35714,69.43214
2020-01-09 10:00:00,10.6727,30.4678364,59.78182,71.40727
2020-01-09 11:00:00,13.1455,30.4589273,60.09091,72.53636
2020-01-09 12:00:00,12.6250,30.4385179,60.66071,72.99821
2020-01-09 13:00:00,12.4464,30.4185714,61.05357,74.10714
2020-01-09 14:00:00,11.7321,30.4076429,61.26786,73.52500
2020-01-09 15:00:00,12.3571,30.4065893,61.42857,73.20714
2020-01-09 16:00:00,9.8036,30.4083393,61.26786,72.03750
2020-01-09 17:00:00,9.4286,30.4101429,60.91071,70.65893
2020-01-09 18:00:00,9.5357,30.4124464,60.12500,69.76071
2020-01-09 19:00:00,9.7679,30.4173571,61.17857,69.55000
2020-01-09 20:00:00,6.5893,30.4203571,61.17857,69.49107
2020-01-09 21:00:00,10.8545,30.4155273,61.34545,69.79818
2020-01-09 22:00:00,11.0930,30.4144186,61.67442,70.00233
2020-01-09 23:00:00,10.9091,30.3982545,61.38182,70.31455
2020-01-10 00:00:00,11.4000,30.3803273,61.94545,70.24909
2020-01-10 01:00:00,7.2857,30.3756071,62.64286,70.09286
2020-01-10 02:00:00,7.6429,30.3695000,62.83929,69.93393
2020-01-10 03:00:00,9.8036,30.3569464,62.12500,70.55000
2020-01-10 04:00:00,7.1250,30.3416429,63.08929,69.93036
2020-01-10 05:00:00,6.8519,30.3462222,63.00000,70.38148
2020-01-10 06:00:00,4.9107,30.3566250,63.80357,69.67321
2020-01-10 07:00:00,5.5273,30.3527455,64.05455,68.55273
2020-01-10 08:00:00,5.6786,30.3642143,64.57143,71.72321
2020-01-10 09:00:00,8.7857,30.3777500,65.98214,74.02500
2020-01-10 10:00:00,10.6429,30.3842143,66.26786,75.84464
2020-01-10 11:00:00,11.7636,30.3647818,66.23636,77.30000
2020-01-10 12:00:00,11.0000,30.3340357,66.41071,77.73929
2020-01-10 13:00:00,12.5370,30.3105926,67.20370,77.59444
2020-01-10 14:00:00,11.2500,30.2961071,67.71429,76.50714
2020-01-10 15:00:00,10.0893,30.3020893,68.46429,75.53929
2020-01-10 16:00:00,7.8909,30.3108727,67.89091,71.57636
2020-01-10 17:00:00,5.9821,30.3118036,66.50000,71.81607
2020-01-10 18:00:00,3.2857,30.3165536,67.00000,71.46071
2020-01-10 19:00:00,5.2143,30.3228036,68.07143,71.12679
2020-01-10 20:00:00,3.9273,30.3252909,68.43636,70.90364
2020-01-10 21:00:00,6.8214,30.3203036,68.00000,70.75357
2020-01-10 22:00:00,7.6545,30.3173455,68.05455,70.27455
2020-01-10 23:00:00,4.1429,30.3136786,67.71429,69.22500
2020-01-11 00:00:00,5.1273,30.3010727,68.00000,69.23636
2020-01-11 01:00:00,3.3818,30.2841273,68.00000,68.88182
2020-01-11 02:00:00,2.5273,30.2583818,68.00000,68.93091
